abbr,ev08,ev12,fips,caps,reg4,reg9,reg10,proper,pop08,pop07,pop06,pop05,pop04,pop03,pop02,pop01,pop00,bush04,kerry04,obama08,mccain08,obama12,romney12,nixon72,now538,el_proj,predictwise,nyt,icpsr,trump16,clinton16,trump20,biden20,trump24,harris24,turnout00,turnout04,turnout08,turnout12,turnout16,turnout20,proj_2024_538_margin,turnout24,reagan80,carter80,reagan84,mondale84,bush88,dukakis88,clinton92,bush92,clinton96,dole96,bush00,gore00
AL,9,9,1,ALABAMA,3,6,4,Alabama,4661900,4626595,4587564,4537299,4506574,4486598,4469906,4462832,4451687,1176394,693933,813479,1266546,38,61,72.43,18.5,19,0,15,41,62,34,0.62,0.366,0.646,0.341,0.516,0.572,0.608,0.586,0.588,0.618,-0.262,0.589,48.75,47.45,60.54,38.28,59.17,39.86,40.88,47.65,0.4316,0.5012,0.5648,0.4157
AK,3,3,2,ALASKA,4,9,10,Alaska,686293,681111,676301,668625,660975,650426,642391,633160,627428,190889,111025,123594,193841,41,56,58.13,13.9,21,1,1,81,51,37,0.528,0.428,0.545,0.414,0.681,0.691,0.68,0.587,0.61,0.681,-0.093,0.638,54.35,26.41,66.65,29.87,59.59,36.27,30.29,39.46,0.3327,0.5080,0.5862,0.2767
AZ,10,11,4,ARIZONA,4,8,9,Arizona,6500180,6353421,6178251,5961239,5750475,5585512,5449195,5303632,5166810,1104294,893524,1034707,1230111,43,55,61.64,6.6,1.7,16,15,61,49,45,0.491,0.494,0.522,0.467,0.456,0.541,0.567,0.526,0.549,0.68,-0.007,0.636,60.61,28.24,66.42,32.54,59.95,38.74,36.52,38.47,0.4652,0.4429,0.5102,0.4473
AR,6,6,5,ARKANSAS,3,7,6,Arkansas,2855390,2830557,2804199,2768918,2740191,2717909,2701889,2689601,2678217,573182,470230,422310,638017,37,60,68.82,17.1,10.5,0,12,42,61,34,0.624,0.348,0.642,0.336,0.479,0.536,0.525,0.507,0.528,0.563,-0.269,0.535,48.13,47.52,60.47,38.29,56.37,42.19,53.21,35.48,0.5374,0.3680,0.5131,0.4586
CA,55,55,6,CALIFORNIA,4,9,9,California,36756666,36377534,36121296,35885415,35629666,35307398,34916495,34507030,33998767,5509826,6745485,8274473,5011781,59,39,55,-14.9,-23,100,99,71,32,62,0.343,0.635,0.383,0.585,0.557,0.588,0.609,0.551,0.565,0.675,0.265,0.621,52.69,35.91,57.51,41.27,51.13,47.56,46.01,32.61,0.5110,0.3821,0.4165,0.5345
CO,9,9,8,COLORADO,4,8,8,Colorado,4939456,4842770,4751474,4662734,4600050,4548339,4503156,4431918,4327788,1101255,1001732,1288576,1073589,51,47,62.61,-2.3,-6.5,92,79,62,43,48,0.419,0.554,0.431,0.541,0.575,0.667,0.71,0.699,0.7,0.767,0.124,0.731,55.07,31.07,63.44,35.12,53.06,45.28,40.13,35.87,0.4443,0.4580,0.5075,0.4239
CT,7,7,9,CONNECTICUT,1,1,1,Connecticut,3501252,3489868,3487896,3478714,3475351,3467932,3448261,3428208,3411714,693826,857488,997772,629428,58,41,58.57,-3.5,-5,100,87,1,41,55,0.392,0.593,0.419,0.564,0.619,0.65,0.666,0.613,0.637,0.693,0.189,0.671,48.16,38.52,60.73,38.83,51.98,46.87,42.21,35.78,0.5283,0.3469,0.3844,0.5591
DE,3,3,10,DELAWARE,3,5,3,Delaware,873092,861953,850366,838519,825682,814262,803774,794498,786404,171660,200152,255459,152374,59,40,59.6,-7.9,-8,100,83,11,42,53,0.398,0.587,0.418,0.565,0.59,0.642,0.656,0.623,0.642,0.695,0.178,0.67,47.21,44.87,59.78,39.93,55.88,43.48,43.51,35.31,0.5180,0.3658,0.4190,0.5496
DC,3,3,11,DISTRICT OF COLUMBIA,3,5,3,District of Columbia,591833,587868,585419,582049,579521,577371,579112,577678,571723,21256,202970,245800,17367,91,7,21.56,-66.3,-46,100,99,,4,90,0.054,0.922,0.065,0.903,0.483,0.543,0.615,0.615,0.604,0.654,0.859,0.636,13.41,74.89,13.73,85.38,14.3,82.65,84.64,9.1,0.8519,0.0934,0.0895,0.8516
FL,27,29,12,FLORIDA,3,5,4,Florida,18328340,18199526,18019093,17702476,17313811,16937337,16652679,16340734,16047246,3964522,3583544,4282074,4045624,50,49,71.91,1.9,-0.4,66,56,43,49,48,0.512,0.479,0.561,0.43,0.559,0.644,0.661,0.628,0.645,0.718,-0.036,0.667,55.52,38.5,65.32,34.66,60.87,38.51,39,40.89,0.4802,0.4232,0.4885,0.4884
GA,15,16,13,GEORGIA,3,5,4,Georgia,9685744,9523297,9318715,9093958,8910741,8732924,8583674,8418592,8230053,1914254,1366149,1844123,2048759,45,53,75.04,4.3,4.5,11,35,44,51,46,0.492,0.495,0.507,0.485,0.458,0.562,0.625,0.59,0.591,0.679,-0.008,0.683,40.95,55.76,60.17,39.79,59.75,39.5,43.47,42.88,0.4584,0.4701,0.5467,0.4298
HI,4,4,15,HAWAII,4,9,9,Hawaii,1288198,1277356,1275264,1264468,1251532,1238333,1227391,1217955,1211479,194191,231708,325871,120566,70,28,62.48,-29.2,-19,100,95,82,30,62,0.343,0.637,0.375,0.606,0.442,0.482,0.488,0.442,0.423,0.552,0.285,0.503,42.9,44.8,55.1,43.82,44.75,54.27,48.09,36.7,0.5693,0.3164,0.3746,0.5579
ID,4,4,16,IDAHO,4,8,10,Idaho,1523816,1496145,1461183,1424127,1390329,1363010,1341408,1320732,1299474,409235,181098,236440,403012,31,66,62.24,25.5,16,0,7,63,59,27,0.638,0.331,0.669,0.304,0.572,0.632,0.636,0.598,0.592,0.668,-0.317,0.634,66.46,25.19,72.36,26.39,62.08,36.01,28.42,42.03,0.3365,0.5218,0.6717,0.2764
IL,21,20,17,ILLINOIS,2,3,5,Illinois,12901563,12825809,12759673,12704063,12665718,12611047,12565228,12510596,12437888,2346608,2891989,3419348,2031179,57,41,59.03,-11.5,-19,100,88,21,39,56,0.406,0.575,0.435,0.544,0.562,0.615,0.636,0.589,0.622,0.66,0.16,0.633,49.65,41.72,56.17,43.3,50.69,48.6,48.58,34.34,0.5432,0.3681,0.4258,0.5460
IN,11,11,18,INDIANA,2,3,5,Indiana,6376792,6335862,6294124,6248569,6210801,6178828,6146974,6123942,6091392,1479438,969011,1374039,1345648,44,54,66.11,12.8,7.5,4,15,22,56,38,0.57,0.41,0.586,0.396,0.493,0.548,0.591,0.552,0.564,0.608,-0.16,0.587,56.01,37.65,61.67,37.68,59.84,39.69,36.79,42.91,0.4155,0.4713,0.5665,0.4101
IA,7,6,19,IOWA,2,4,7,Iowa,3002555,2983360,2967270,2951775,2942739,2933407,2929395,2929294,2928046,751957,741898,828940,682379,52,46,57.61,2.4,-2.3,72,60,31,51,42,0.531,0.449,0.557,0.425,0.632,0.699,0.694,0.703,0.684,0.725,-0.079,0.708,51.31,38.6,53.27,45.89,44.5,54.71,43.29,37.27,0.5026,0.3992,0.4822,0.4854
KS,6,6,20,KANSAS,2,4,7,Kansas,2802134,2777382,2756267,2742204,2731069,2722070,2712561,2701346,2692681,736456,434993,514765,699655,38,60,67.66,15.4,14,0,2,32,57,36,0.561,0.415,0.572,0.41,0.556,0.616,0.62,0.569,0.577,0.656,-0.153,0.632,57.85,33.29,66.27,32.6,55.79,42.56,33.74,38.88,0.3608,0.5429,0.5804,0.3724
KY,8,8,21,KENTUCKY,3,6,4,Kentucky,4269245,4236308,4199440,4165958,4135567,4110922,4086754,4066442,4048831,1069439,712733,751985,1048462,38,61,63.37,11.5,14,0,7,51,63,37,0.621,0.362,0.645,0.339,0.522,0.587,0.579,0.557,0.586,0.644,-0.264,0.622,49.07,47.61,60.04,39.37,55.52,43.88,44.55,41.34,0.4584,0.4488,0.5650,0.4137
LA,9,8,22,LOUISIANA,3,7,6,Louisiana,4410796,4373310,4243634,4495627,4487830,4473558,4465215,4460395,4468879,1102169,820299,782989,1148275,40,59,65.32,17.4,17,0,12,45,58,38,0.585,0.399,0.602,0.382,0.564,0.611,0.612,0.602,0.6,0.636,-0.192,0.608,51.2,45.75,60.77,38.18,54.27,44.06,45.58,40.97,0.5201,0.3994,0.5255,0.4488
ME,4,4,23,MAINE,1,1,1,Maine,1316456,1315398,1313355,1311044,1307904,1302729,1293667,1284663,1277179,330201,396842,421923,295273,56,40,61.46,-1.5,-2.5,99,84,2,45,48,0.44,0.531,0.455,0.524,0.672,0.738,0.706,0.682,0.707,0.749,0.095,0.742,45.61,42.25,60.83,38.78,55.34,43.88,38.77,30.39,0.5162,0.3076,0.4397,0.4909
MD,10,10,24,MARYLAND,3,5,3,Maryland,5633597,5618899,5602258,5575552,5538989,5495009,5439327,5375659,5310451,1024703,1334493,1629467,959862,61,37,61.26,-23.6,-25.5,100,99,52,34,60,0.322,0.654,0.341,0.626,0.555,0.629,0.67,0.666,0.664,0.692,0.3,0.693,44.18,47.14,52.51,47.02,51.11,48.2,49.8,35.62,0.5425,0.3827,0.4018,0.5657
MA,12,11,25,MASSACHUSETTS,1,1,1,Massachusetts,6497967,6467915,6443424,6434343,6437414,6441440,6433043,6407269,6362583,1071109,1803800,1904097,1108854,61,37,45.23,-14.9,-20.5,100,94,3,33,60,0.321,0.656,0.36,0.612,0.599,0.642,0.668,0.659,0.672,0.705,0.316,0.68,41.9,41.75,51.22,48.43,45.38,53.23,47.54,29.02,0.6147,0.2808,0.3250,0.5980
MI,17,16,26,MICHIGAN,2,3,5,Michigan,10003422,10049790,10083878,10093266,10090280,10065881,10037303,10004341,9955146,2313746,2479183,2872579,2048639,54,46,56.2,-2.8,-4.3,91,78,23,48,47,0.478,0.506,0.497,0.483,0.599,0.666,0.692,0.647,0.647,0.73,0.021,0.746,48.99,42.5,59.23,40.24,53.57,45.67,43.77,36.38,0.5169,0.3848,0.4615,0.5128
MN,10,10,27,MINNESOTA,2,4,5,Minnesota,5220393,5182360,5143134,5104890,5078014,5046708,5016643,4982339,4933787,1346695,1445014,1573354,1275409,53,45,51.58,-1.5,-7.5,94,79,33,45,46,0.453,0.524,0.467,0.509,0.695,0.784,0.778,0.76,0.741,0.794,0.064,0.764,42.56,46.5,49.54,49.72,45.9,52.91,43.48,31.85,0.5110,0.3496,0.4550,0.4791
